model,qid,category,correct_answer,baseline_prediction,baseline_correct,L1_prediction,L1_correct,L2_prediction,L2_correct,L3_prediction,L3_correct,L4_prediction,L4_correct,MCT,final_flip_level,instability,pattern
TinyLlama-1.1B,M-006,geographic_attribution,B,B,1,B,1,B,1,B,1,B,1,0,baseline,0,1→1→1→1→1
TinyLlama-1.1B,M-008,historical_narrative,A,B,0,A,1,A,1,B,0,B,0,1,L1,1,0→1→1→0→0
TinyLlama-1.1B,M-010,scientific,D,B,0,B,0,B,0,B,0,B,0,5,never,0,0→0→0→0→0
TinyLlama-1.1B,M-011,scientific,A,B,0,B,0,B,0,B,0,B,0,5,never,0,0→0→0→0→0
TinyLlama-1.1B,M-012,scientific,C,C,1,C,1,C,1,C,1,C,1,0,baseline,0,1→1→1→1→1
TinyLlama-1.1B,M-013,scientific,D,B,0,D,1,D,1,D,1,D,1,1,L1,0,0→1→1→1→1
TinyLlama-1.1B,M-014,scientific,C,C,1,C,1,C,1,C,1,C,1,0,baseline,0,1→1→1→1→1
TinyLlama-1.1B,M-015,scientific,C,C,1,C,1,C,1,C,1,C,1,0,baseline,0,1→1→1→1→1
TinyLlama-1.1B,M-016,scientific,B,B,1,B,1,B,1,B,1,B,1,0,baseline,0,1→1→1→1→1
TinyLlama-1.1B,M-003,geographic_attribution,B,B,1,B,1,B,1,B,1,B,1,0,baseline,0,1→1→1→1→1
TinyLlama-1.1B,M-B01,scientific,A,C,0,C,0,A,1,A,1,A,1,2,L2,0,0→0→1→1→1
TinyLlama-1.1B,M-B02,scientific,C,C,1,C,1,C,1,C,1,C,1,0,baseline,0,1→1→1→1→1
TinyLlama-1.1B,M-B05,scientific,C,A,0,A,0,A,0,A,0,A,0,5,never,0,0→0→0→0→0
TinyLlama-1.1B,M-B07,scientific,C,C,1,C,1,C,1,C,1,C,1,0,baseline,0,1→1→1→1→1
TinyLlama-1.1B,M-B08,scientific,D,A,0,D,1,D,1,D,1,D,1,1,L1,0,0→1→1→1→1
TinyLlama-1.1B,M-B13,scientific,D,B,0,D,1,D,1,D,1,D,1,1,L1,0,0→1→1→1→1
TinyLlama-1.1B,M-B14,scientific,B,A,0,A,0,A,0,A,0,A,0,5,never,0,0→0→0→0→0
TinyLlama-1.1B,M-B15,scientific,D,B,0,D,1,D,1,B,0,D,1,1,L1,1,0→1→1→0→1
TinyLlama-1.1B,M-C01,scientific,D,D,1,D,1,D,1,D,1,D,1,0,baseline,0,1→1→1→1→1
TinyLlama-1.1B,M-C03,scientific,D,D,1,D,1,D,1,D,1,D,1,0,baseline,0,1→1→1→1→1
TinyLlama-1.1B,M-C04,scientific,B,A,0,A,0,A,0,A,0,A,0,5,never,0,0→0→0→0→0
TinyLlama-1.1B,M-C05,scientific,D,D,1,D,1,D,1,D,1,D,1,0,baseline,0,1→1→1→1→1
TinyLlama-1.1B,M-C06,historical_narrative,B,C,0,B,1,B,1,B,1,B,1,1,L1,0,0→1→1→1→1
TinyLlama-1.1B,M-C08,scientific,C,A,0,C,1,C,1,C,1,C,1,1,L1,0,0→1→1→1→1
TinyLlama-1.1B,M-C09,geographic_attribution,C,B,0,C,1,B,0,B,0,B,0,1,L1,1,0→1→0→0→0
TinyLlama-1.1B,M-C10,scientific,D,D,1,D,1,D,1,D,1,D,1,0,baseline,0,1→1→1→1→1
TinyLlama-1.1B,M-C12,scientific,C,C,1,C,1,C,1,C,1,C,1,0,baseline,0,1→1→1→1→1
TinyLlama-1.1B,M-C14,scientific,B,B,1,B,1,B,1,B,1,B,1,0,baseline,0,1→1→1→1→1
TinyLlama-1.1B,M-C15,geographic_attribution,A,A,1,A,1,A,1,A,1,A,1,0,baseline,0,1→1→1→1→1
