model,qid,category,correct_answer,baseline_prediction,baseline_correct,L1_prediction,L1_correct,L2_prediction,L2_correct,L3_prediction,L3_correct,L4_prediction,L4_correct,MCT,final_flip_level,instability,pattern
Qwen2.5-7B,M-006,geographic_attribution,B,A,0,B,1,B,1,B,1,B,1,1,L1,0,0→1→1→1→1
Qwen2.5-7B,M-008,historical_narrative,A,A,1,A,1,A,1,A,1,A,1,0,baseline,0,1→1→1→1→1
Qwen2.5-7B,M-010,scientific,D,B,0,D,1,D,1,D,1,D,1,1,L1,0,0→1→1→1→1
Qwen2.5-7B,M-011,scientific,A,A,1,A,1,A,1,A,1,A,1,0,baseline,0,1→1→1→1→1
Qwen2.5-7B,M-012,scientific,C,C,1,C,1,C,1,C,1,C,1,0,baseline,0,1→1→1→1→1
Qwen2.5-7B,M-013,scientific,D,D,1,D,1,D,1,D,1,D,1,0,baseline,0,1→1→1→1→1
Qwen2.5-7B,M-014,scientific,C,D,0,C,1,C,1,C,1,C,1,1,L1,0,0→1→1→1→1
Qwen2.5-7B,M-015,scientific,C,C,1,C,1,C,1,C,1,C,1,0,baseline,0,1→1→1→1→1
Qwen2.5-7B,M-016,scientific,B,B,1,B,1,B,1,B,1,B,1,0,baseline,0,1→1→1→1→1
Qwen2.5-7B,M-003,geographic_attribution,B,A,0,B,1,B,1,B,1,B,1,1,L1,0,0→1→1→1→1
Qwen2.5-7B,M-B01,scientific,A,C,0,C,0,C,0,C,0,C,0,5,never,0,0→0→0→0→0
Qwen2.5-7B,M-B02,scientific,C,B,0,C,1,C,1,C,1,C,1,1,L1,0,0→1→1→1→1
Qwen2.5-7B,M-B05,scientific,C,C,1,C,1,C,1,C,1,C,1,0,baseline,0,1→1→1→1→1
Qwen2.5-7B,M-B07,scientific,C,C,1,C,1,C,1,C,1,C,1,0,baseline,0,1→1→1→1→1
Qwen2.5-7B,M-B08,scientific,D,D,1,D,1,D,1,D,1,D,1,0,baseline,0,1→1→1→1→1
Qwen2.5-7B,M-B13,scientific,D,B,0,D,1,D,1,D,1,D,1,1,L1,0,0→1→1→1→1
Qwen2.5-7B,M-B14,scientific,B,D,0,B,1,B,1,B,1,B,1,1,L1,0,0→1→1→1→1
Qwen2.5-7B,M-B15,scientific,D,B,0,B,0,B,0,B,0,B,0,5,never,0,0→0→0→0→0
Qwen2.5-7B,M-C01,scientific,D,D,1,D,1,D,1,D,1,D,1,0,baseline,0,1→1→1→1→1
Qwen2.5-7B,M-C03,scientific,D,D,1,D,1,D,1,D,1,D,1,0,baseline,0,1→1→1→1→1
Qwen2.5-7B,M-C04,scientific,B,A,0,B,1,B,1,B,1,B,1,1,L1,0,0→1→1→1→1
Qwen2.5-7B,M-C05,scientific,D,D,1,D,1,D,1,D,1,D,1,0,baseline,0,1→1→1→1→1
Qwen2.5-7B,M-C06,historical_narrative,B,B,1,B,1,B,1,B,1,B,1,0,baseline,0,1→1→1→1→1
Qwen2.5-7B,M-C08,scientific,C,D,0,D,0,D,0,D,0,D,0,5,never,0,0→0→0→0→0
Qwen2.5-7B,M-C09,geographic_attribution,C,B,0,B,0,B,0,B,0,B,0,5,never,0,0→0→0→0→0
Qwen2.5-7B,M-C10,scientific,D,D,1,D,1,D,1,D,1,D,1,0,baseline,0,1→1→1→1→1
Qwen2.5-7B,M-C12,scientific,C,C,1,C,1,C,1,C,1,C,1,0,baseline,0,1→1→1→1→1
Qwen2.5-7B,M-C14,scientific,B,B,1,B,1,B,1,B,1,B,1,0,baseline,0,1→1→1→1→1
Qwen2.5-7B,M-C15,geographic_attribution,A,D,0,A,1,A,1,A,1,A,1,1,L1,0,0→1→1→1→1
Qwen2.5-7B,M-D01,historical_narrative,C,D,0,D,0,C,1,C,1,C,1,2,L2,0,0→0→1→1→1
Qwen2.5-7B,M-D02,historical_narrative,A,A,1,A,1,A,1,A,1,A,1,0,baseline,0,1→1→1→1→1
Qwen2.5-7B,M-D03,historical_narrative,A,A,1,A,1,A,1,A,1,A,1,0,baseline,0,1→1→1→1→1
Qwen2.5-7B,M-D04,historical_narrative,B,B,1,B,1,B,1,B,1,B,1,0,baseline,0,1→1→1→1→1
Qwen2.5-7B,M-D05,historical_narrative,B,B,1,B,1,B,1,B,1,B,1,0,baseline,0,1→1→1→1→1
Qwen2.5-7B,M-D06,historical_narrative,D,D,1,D,1,D,1,D,1,D,1,0,baseline,0,1→1→1→1→1
Qwen2.5-7B,M-D07,historical_narrative,B,C,0,C,0,B,1,B,1,B,1,2,L2,0,0→0→1→1→1
Qwen2.5-7B,M-D08,historical_narrative,A,A,1,A,1,A,1,A,1,A,1,0,baseline,0,1→1→1→1→1
Qwen2.5-7B,M-D11,geographic_attribution,A,A,1,A,1,A,1,A,1,A,1,0,baseline,0,1→1→1→1→1
Qwen2.5-7B,M-D12,historical_narrative,B,B,1,B,1,B,1,B,1,B,1,0,baseline,0,1→1→1→1→1
Qwen2.5-7B,M-E01,historical_narrative,C,C,1,C,1,C,1,C,1,C,1,0,baseline,0,1→1→1→1→1
Qwen2.5-7B,M-E04,historical_narrative,B,B,1,B,1,B,1,B,1,B,1,0,baseline,0,1→1→1→1→1
Qwen2.5-7B,M-E06,historical_narrative,C,C,1,C,1,C,1,C,1,C,1,0,baseline,0,1→1→1→1→1
Qwen2.5-7B,M-E07,historical_narrative,D,D,1,D,1,D,1,D,1,D,1,0,baseline,0,1→1→1→1→1
Qwen2.5-7B,M-E10,historical_narrative,A,A,1,A,1,A,1,A,1,A,1,0,baseline,0,1→1→1→1→1
