model,qid,category,correct_letter,misc_letter,baseline_correct,l1_true_correct,l1_adv_correct,l1_adv_follows_wrong
TinyLlama-1.1B,M-006,geographic_attribution,B,C,1,1,1,0
TinyLlama-1.1B,M-008,historical_narrative,A,B,0,1,0,1
TinyLlama-1.1B,M-010,scientific,D,B,0,0,0,1
TinyLlama-1.1B,M-011,scientific,A,B,0,0,0,1
TinyLlama-1.1B,M-012,scientific,C,A,1,1,0,1
TinyLlama-1.1B,M-013,scientific,D,B,0,1,0,1
TinyLlama-1.1B,M-014,scientific,C,D,1,1,1,0
TinyLlama-1.1B,M-015,scientific,C,B,1,1,1,0
TinyLlama-1.1B,M-016,scientific,B,A,1,1,0,1
TinyLlama-1.1B,M-003,geographic_attribution,B,A,1,1,1,0
TinyLlama-1.1B,M-B01,scientific,A,C,0,0,0,1
TinyLlama-1.1B,M-B02,scientific,C,B,1,1,1,0
TinyLlama-1.1B,M-B05,scientific,C,A,0,0,0,1
TinyLlama-1.1B,M-B07,scientific,C,B,1,1,1,0
TinyLlama-1.1B,M-B08,scientific,D,A,0,1,0,1
TinyLlama-1.1B,M-B13,scientific,D,B,0,1,0,1
TinyLlama-1.1B,M-B14,scientific,B,D,0,0,0,0
TinyLlama-1.1B,M-B15,scientific,D,B,0,1,0,1
TinyLlama-1.1B,M-C01,scientific,D,C,1,1,1,0
TinyLlama-1.1B,M-C03,scientific,D,A,1,1,1,0
TinyLlama-1.1B,M-C04,scientific,B,A,0,0,0,1
TinyLlama-1.1B,M-C05,scientific,D,B,1,1,1,0
TinyLlama-1.1B,M-C06,historical_narrative,B,A,0,1,0,0
TinyLlama-1.1B,M-C08,scientific,C,B,0,1,1,0
TinyLlama-1.1B,M-C09,geographic_attribution,C,B,0,1,0,1
TinyLlama-1.1B,M-C10,scientific,D,C,1,1,1,0
TinyLlama-1.1B,M-C12,scientific,C,A,1,1,1,0
TinyLlama-1.1B,M-C14,scientific,B,C,1,1,1,0
TinyLlama-1.1B,M-C15,geographic_attribution,A,C,1,1,1,0
TinyLlama-1.1B,M-D01,historical_narrative,C,B,0,0,0,1
TinyLlama-1.1B,M-D02,historical_narrative,A,B,1,1,1,0
TinyLlama-1.1B,M-D03,historical_narrative,A,B,0,0,0,1
TinyLlama-1.1B,M-D04,historical_narrative,B,A,1,1,1,0
TinyLlama-1.1B,M-D05,historical_narrative,B,A,1,1,1,0
TinyLlama-1.1B,M-D06,historical_narrative,D,B,1,0,1,0
TinyLlama-1.1B,M-D07,historical_narrative,B,A,1,1,1,0
TinyLlama-1.1B,M-D08,historical_narrative,A,B,1,1,1,0
TinyLlama-1.1B,M-D11,geographic_attribution,A,B,1,1,1,0
TinyLlama-1.1B,M-D12,historical_narrative,B,A,1,1,1,0
TinyLlama-1.1B,M-E01,historical_narrative,C,B,1,1,1,0
TinyLlama-1.1B,M-E04,historical_narrative,B,A,1,1,1,0
TinyLlama-1.1B,M-E06,historical_narrative,C,A,1,1,1,0
TinyLlama-1.1B,M-E07,historical_narrative,D,C,0,0,0,1
TinyLlama-1.1B,M-E10,historical_narrative,A,B,1,1,1,0
TinyLlama-1.1B,M-E11,historical_narrative,D,B,1,1,1,0
TinyLlama-1.1B,M-E12,geographic_attribution,B,A,0,0,0,1
TinyLlama-1.1B,M-E13,historical_narrative,B,A,0,1,1,0
TinyLlama-1.1B,M-E15,historical_narrative,C,D,0,0,1,0
